"Summary,Issue Type,Epic Link,Description"
"Generate Accessibility Checklist,Task,""Squirrel Setup"",""Produce A11y documentation."""
"Export All Squirrel Documents,Task,""Squirrel Setup"",""Store them inside QMS Drive folder."""

"Prepare Codebase for Audit,Story,""Codebase Preparation"",""Prepare code and documentation for ISO/62304 audit readiness."""
"Share Repository Access with Acorn,Task,""Codebase Preparation"",""Grant read-only or dev access."""
"Document Development Environment,Task,""Codebase Preparation"",""Describe tools, versions, build steps."""
"Add Logging for Traceability,Task,""Codebase Preparation"",""Introduce log events relevant for verification."""
"Document Release History,Task,""Codebase Preparation"",""Record major and minor releases."""

"Continue Prototype Development,Story,""Prototype Development"",""Continue improving guideline matching and suggestions."""
"Improve Guideline Matching,Task,""Prototype Development"",""Refine NLP relevance pipeline."""
"Improve Suggestion Generation,Task,""Prototype Development"",""Improve accuracy of clinical suggestions."""
"Refactor Code for Auditability,Task,""Prototype Development"",""Refactor modules to simplify traceability."""
"Prepare Pilot-Ready Build,Task,""Prototype Development"",""Stabilise build for maternity pilot."""
